promoter,Cecum,Ascending colon,Hepatic flexure of colon,Transverse colon,Descending colon,Sigmoid colon,Rectosigmoid junction,"Rectum, NOS"
ZDHHC5_2,0.0481741376710735,0.0507717502514385,0.044612584335973,0.0427270458414014,0.046315214587316,0.048816000001626,0.046721949585363,0.0444661514584425
ZDHHC5_1,0.043003028483942,0.046020400873949,0.041161983622767,0.038968434291058,0.042125853467135,0.04447981350407,0.043040675291671,0.0391229962298445
MED19_1,0.032097498303375,0.0324049751257285,0.033049490024321,0.0306284966221485,0.029130415372721,0.0317760962057855,0.031659048357358,0.030590175904028
TMX2_1,0.041004455070907,0.0428507430440859,0.042193063086306,0.039969042225257,0.038273888008426,0.0417517886247554,0.040309997626229,0.040117459363875
C11orf31_1,0.123842175930329,0.1298841891169529,0.088203635558373,0.120783741635571,0.109160730796248,0.1078366932535614,0.102471355481065,0.1050673201565765
C11orf31_2,0.123842175930329,0.1298841891169529,0.088203635558373,0.120783741635571,0.109160730796248,0.1078366932535614,0.102471355481065,0.1050673201565765
CTNND1_1,0.2018407419703675,0.21461458778695,0.18757869759669,0.2055784647957875,0.153405037391828,0.153168166762698,0.152516484804769,0.1664526123493019
ZFP91_3,0.0354921514320375,0.034814995407056,0.031300130018021,0.032570304105013,0.031519246541941,0.0341776573829279,0.030800025188994,0.030382724774901
LPXN_2,0.062314324762145,0.0602577705666355,0.064973792578029,0.0633213385726505,0.060473705211301,0.0624026622835615,0.059288046984391,0.060107228795776
ZFP91_1,0.044785653893569,0.0437346813836335,0.042529876437627,0.0477859543550415,0.040595015965167,0.043030534069291,0.04157010153293,0.040529383720559
ZFP91_2,0.053018165321563,0.0521755851070629,0.056361990062525,0.0527005356665749,0.051198185957923,0.052472107587854,0.049652359016114,0.0494329238698375
ZFP91_5,0.062314324762145,0.0602577705666355,0.064973792578029,0.0633213385726505,0.060473705211301,0.0624026622835615,0.059288046984391,0.060107228795776
GLYATL2_1,0.332503196988034,0.4012860275707435,0.369486601740912,0.2739984647323375,0.082401959635505,0.064249757811976,0.068770344016075,0.0743746203586254
GLYATL1_1,0.245260603688907,0.2524800826558635,0.209268448924786,0.2508267193055555,0.225701034994259,0.186368939300722,0.218070509193626,0.2164097691055505
FAM111B_1,0.0455008236107569,0.0433934741234049,0.039654794371872,0.044476363228002,0.039029890047205,0.042680421909831,0.037597896000152,0.0381556404170425
FAM111A_1,0.040367390935239,0.0401327082568125,0.04127816409951,0.0413079002772625,0.039516283556054,0.041424941085518,0.038353531655237,0.0394795315480809
DTX4_2,0.23395750855772,0.218697007060755,0.207617090424852,0.225759842012568,0.196729699567008,0.2162566558268085,0.196580067112954,0.202744939456566
DTX4_1,0.0347410575874505,0.0347061289690775,0.034934205171199,0.034049995659139,0.033757905184054,0.0351652527172745,0.032938938454945,0.0324449384672965
OSBP_1,0.0511539351007465,0.0520189411969864,0.049247099666235,0.0505066736622035,0.047467167786196,0.0510064591816055,0.050418617186313,0.0491731212423475
PATL1_1,0.090538218878707,0.0929599694536905,0.084438858326829,0.0944735084596385,0.081205662159479,0.0808219726778985,0.085329610532053,0.082049038036955
STX3_1,0.086844861098532,0.0860609758884545,0.090508164808463,0.0870287711743744,0.086031225070889,0.0868000244023814,0.080776944513002,0.0784821177543665
STX3_2,0.0339132439345574,0.0343223159257195,0.034486448739938,0.0329498444204205,0.032113303010351,0.03404696347479,0.032583853765486,0.0320286186937755
MRPL16_1,0.111187130682113,0.113655488388597,0.105023164577689,0.1186806403204585,0.107473899867796,0.104052778659881,0.098890556286935,0.1007596300954224
GIF_1,0.3299857835859675,0.3477216197639715,0.23541365782373,0.3294333305633915,0.275939635825702,0.330794123540455,0.303189816385401,0.286525605257261
TCN1_1,0.2775398521984955,0.2693899360401575,0.326298586116152,0.3474513173394605,0.363759003132833,0.378691458112951,0.375723018313229,0.3133880202555105
MS4A8_1,0.3541963804531605,0.3458155343673675,0.285964704527771,0.4405294543661749,0.272202172304999,0.3085992845829175,0.310917212110765,0.2968111346341495
CCDC86_1,0.287754955793969,0.2852404088898534,0.285464774517416,0.281399085844231,0.281947480165869,0.285587761025711,0.272893288373669,0.282684594947967
PTGDR2_2,0.329094411939092,0.336763502020179,0.27690929280994,0.323094573925315,0.28290300510632,0.328712494760951,0.29974554399105,0.311088666691131
